name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;297;0;297;3131;1369;3131;1500;0
header;297;1343;297;1371;1077;1371;1077;1343
A;1321;722;1321;733;1327;733;1327;722
A;1399;722;1399;725;1403;725;1403;722
A;721;760;721;767;727;767;727;760
A;700;790;700;797;709;797;709;790
A;768;816;768;819;772;819;772;816
A;504;853;504;862;509;862;509;853
A;776;868;776;871;777;871;777;868
A;1219;956;1219;959;1221;959;1221;956
A;1355;956;1355;960;1358;960;1358;956
A;1212;1129;1212;1131;1215;1131;1215;1129
A;1218;1189;1218;1191;1220;1191;1220;1189
A;709;1246;709;1246;709;1246;709;1246
A;702;1260;702;1262;706;1262;706;1260
A;298;1296;298;1298;300;1298;300;1296
A;352;1388;352;1391;356;1391;356;1388
B;952;1400;952;1413;963;1413;963;1400
A;297;1412;297;1414;299;1414;299;1412
A;837;1427;837;1430;839;1430;839;1427
B;840;1466;840;1494;863;1494;863;1466
B;681;1466;681;1493;702;1493;702;1466
A;941;1570;941;1570;942;1570;942;1570
A;489;2041;489;2043;490;2043;490;2041
