name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;815;0;886;3141;1779;3141;1495;0
header;170;155;170;203;1792;203;1792;155
A;976;231;976;259;1000;259;1000;231
B;972;899;972;927;991;927;991;899
D;1317;1055;1317;1071;1339;1071;1339;1055
B;1348;1076;1348;1086;1355;1086;1355;1076
A;1609;1273;1609;1273;1609;1273;1609;1273
A;1234;1373;1234;1374;1235;1374;1235;1373
C;971;1540;971;1568;992;1568;992;1540
A;951;1658;951;1664;956;1664;956;1658
D;977;2219;977;2247;999;2247;999;2219
B;1304;2444;1304;2460;1325;2460;1325;2444
C;1239;2445;1239;2471;1265;2471;1265;2445
A;1188;2593;1188;2605;1195;2605;1195;2593
B;1443;2641;1443;2667;1450;2667;1450;2641
B;1443;2718;1443;2736;1456;2736;1456;2718
D;1088;2888;1088;2916;1109;2916;1109;2888
